college,draft_team,draft_year
University of Kentucky,Chicago Bulls,2012
Florida State University,Cleveland Cavaliers,2012
Marquette University,Cleveland Cavaliers,2012
Oregon State University,Cleveland Cavaliers,2012
Syracuse University,Cleveland Cavaliers,2012
Marquette University,Dallas Mavericks,2012
University of North Carolina,Dallas Mavericks,2012
Baylor University,Denver Nuggets,2012
Texas A&M University,Detroit Pistons,2012
University of Connecticut,Detroit Pistons,2012
University of Missouri,Detroit Pistons,2012
Michigan State University,Golden State Warriors,2012
University of North Carolina,Golden State Warriors,2012
Vanderbilt University,Golden State Warriors,2012
Iowa State University,Houston Rockets,2012
University of Connecticut,Houston Rockets,2012
University of Kentucky,Houston Rockets,2012
Duke University,Indiana Pacers,2012
Gonzaga University,Los Angeles Lakers,2012
University of Washington,Memphis Grizzlies,2012
"University of Texas at El Paso, Mississippi State University",Miami Heat,2012
University of Kentucky,Milwaukee Bucks,2012
University of North Carolina,Milwaukee Bucks,2012
Purdue University,Minnesota Timberwolves,2012
Duke University,New Orleans Hornets,2012
University of Kentucky,New Orleans Hornets,2012
University of Kentucky,New Orleans Hornets,2012
Baylor University,Oklahoma City Thunder,2012
Norfolk State University,Orlando Magic,2012
St. Bonaventure University,Orlando Magic,2012
"Iowa State University, Louisiana State University",Philadelphia 76ers,2012
St. John's University,Philadelphia 76ers,2012
University of North Carolina,Phoenix Suns,2012
University of Illinois at Urbana-Champaign,Portland Trail Blazers,2012
University of Kansas,Portland Trail Blazers,2012
University of Memphis,Portland Trail Blazers,2012
Weber State University,Portland Trail Blazers,2012
"Loyola Marymount University, University of California, Santa Barbara",Sacramento Kings,2012
University of Kansas,Sacramento Kings,2012
Baylor University,Toronto Raptors,2012
University of Washington,Toronto Raptors,2012
Tennessee Technological University,Utah Jazz,2012
University of Florida,Washington Wizards,2012
"California State University, Long Beach",Atlanta Hawks,2013
University of Miami,Atlanta Hawks,2013
Duke University,Brooklyn Nets,2013
Indiana University,Charlotte Bobcats,2013
University of Florida,Chicago Bulls,2013
University of New Mexico,Chicago Bulls,2013
Arizona State University,Cleveland Cavaliers,2013
University of California,Cleveland Cavaliers,2013
"University of Nevada, Las Vegas",Cleveland Cavaliers,2013
Bucknell University,Dallas Mavericks,2013
Gonzaga University,Dallas Mavericks,2013
University of Georgia,Detroit Pistons,2013
University of Louisville,Detroit Pistons,2013
University of North Texas,Detroit Pistons,2013
Murray State University,Houston Rockets,2013
University of Arizona,Indiana Pacers,2013
University of North Carolina,Los Angeles Clippers,2013
Duke University,Los Angeles Lakers,2013
San Diego State University,Memphis Grizzlies,2013
North Carolina State University,Minnesota Timberwolves,2013
University of Colorado,Minnesota Timberwolves,2013
University of Michigan,Minnesota Timberwolves,2013
University of Kentucky,New Orleans Hornets,2013
University of Michigan,New York Knicks,2013
University of Kentucky,Oklahoma City Thunder,2013
University of Pittsburgh,Oklahoma City Thunder,2013
Indiana University,Orlando Magic,2013
Baylor University,Philadelphia 76ers,2013
Georgia Institute of Technology,Philadelphia 76ers,2013
Syracuse University,Philadelphia 76ers,2013
University of Maryland,Phoenix Suns,2013
Lehigh University,Portland Trail Blazers,2013
University of Arizona,Portland Trail Blazers,2013
University of Kansas,Portland Trail Blazers,2013
University of Detroit Mercy,Sacramento Kings,2013
University of Kansas,Sacramento Kings,2013
"University of California, Los Angeles",Utah Jazz,2013
University of Louisville,Utah Jazz,2013
Virginia Polytechnic Institute and State University,Utah Jazz,2013
Georgetown University,Washington Wizards,2013
South Dakota State University,Washington Wizards,2013
Michigan State University,Atlanta Hawks,2014
Oklahoma State University,Boston Celtics,2014
University of Kentucky,Boston Celtics,2014
Indiana University,Charlotte Hornets,2014
Stanford University,Charlotte Hornets,2014
University of Connecticut,Charlotte Hornets,2014
Michigan State University,Chicago Bulls,2014
University of New Mexico,Chicago Bulls,2014
University of Kansas,Cleveland Cavaliers,2014
University of Virginia,Cleveland Cavaliers,2014
Creighton University,Denver Nuggets,2014
University of Iowa,Denver Nuggets,2014
University of Colorado,Detroit Pistons,2014
University of Arizona,Houston Rockets,2014
University of Washington,Los Angeles Clippers,2014
University of Kentucky,Los Angeles Lakers,2014
"University of California, Los Angeles",Memphis Grizzlies,2014
University of North Carolina,Miami Heat,2014
Xavier University,Miami Heat,2014
Duke University,Milwaukee Bucks,2014
Louisiana State University,Milwaukee Bucks,2014
University of Pittsburgh,Milwaukee Bucks,2014
Oklahoma State University,Minnesota Timberwolves,2014
"University of California, Los Angeles",Minnesota Timberwolves,2014
University of Michigan,Minnesota Timberwolves,2014
Wichita State University,New York Knicks,2014
Stanford University,Oklahoma City Thunder,2014
University of Michigan,Oklahoma City Thunder,2014
University of Arizona,Orlando Magic,2014
Clemson University,Philadelphia 76ers,2014
Syracuse University,Philadelphia 76ers,2014
University of Kansas,Philadelphia 76ers,2014
